,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
PosX,0.0033750601578503847,0.0032284632325172424,0.009024901315569878,0.017184408381581306,0.02629457414150238,0.035489726811647415,0.04506046324968338,0.052267640829086304,0.061718594282865524,0.07090140134096146,0.09032081067562103,0.11091736704111099,0.1289147138595581,0.15003570914268494,0.16913041472434998,0.18941929936408997,0.20506136119365692,0.2165318876504898,0.22757399082183838,0.23435956239700317,0.23754826188087463,0.23676098883152008,0.23272420465946198,0.22464022040367126,0.21726708114147186,0.20905962586402893,0.1999255120754242,0.1922021359205246,0.18061713874340057,0.1682940274477005,0.15431159734725952,0.13775913417339325,0.12161317467689514,0.106349416077137,0.08872589468955994,0.07165399938821793,0.05872439220547676,0.046308815479278564,0.03644109144806862,0.02475981041789055,0.013560851104557514,0.0038023663219064474,-0.004256566055119038,-0.011650776490569115,-0.018721332773566246,-0.02500167489051819,-0.029665371403098106,-0.03281747177243233,-0.03414144366979599,-0.03506137430667877,-0.03478570282459259
PosY,0.21388939023017883,0.2138722985982895,0.21401676535606384,0.21422632038593292,0.21451321244239807,0.21408966183662415,0.2129337042570114,0.21160845458507538,0.2089906483888626,0.2055000513792038,0.19812577962875366,0.19069428741931915,0.18404942750930786,0.1748310774564743,0.16451378166675568,0.14966711401939392,0.13343504071235657,0.11729947477579117,0.09556147456169128,0.07444879412651062,0.0497354194521904,0.028876129537820816,0.008606215007603168,-0.015815120190382004,-0.034120116382837296,-0.05154958739876747,-0.06787261366844177,-0.08029567450284958,-0.09553167968988419,-0.10849466919898987,-0.12026074528694153,-0.13109491765499115,-0.1388654261827469,-0.14406053721904755,-0.14779292047023773,-0.14960022270679474,-0.14974689483642578,-0.1481267660856247,-0.1454317718744278,-0.14101673662662506,-0.1352163404226303,-0.1283482313156128,-0.12126249074935913,-0.11336606740951538,-0.10402214527130127,-0.09288889169692993,-0.08195100724697113,-0.07102039456367493,-0.06297921389341354,-0.052855588495731354,-0.04216928407549858
Omega,0.0029202167510986587,0.007161087226867702,0.02340835971832278,0.030675358009338405,-0.028802924919128392,-0.09920375900268552,-0.18100052433013913,-0.25332158164978025,-0.33391826705932615,-0.36678033428192136,-0.34955101566314695,-0.34733169631958005,-0.3974904354095459,-0.4844507511138916,-0.5883498127937317,-0.7562435801506042,-0.9074591334342956,-1.0609054501533508,-1.2237592871665954,-1.393671297597885,-1.5832720185995102,-1.7214864577531814,-1.8657199378490448,-1.9498566623210907,-2.004313879776001,-2.073541098403931,-2.121968978214264,-2.190301054286957,-2.3092870648384096,-2.4230989153862,-2.5431979234695437,-2.6634151275634768,-2.7831826742172243,-2.9091793830871584,-3.017321282196045,-3.132371836471558,-3.2456462915420534,-3.3719068105697634,-3.4752088125228884,-3.599382572937012,-3.7213129337310793,-3.835755997467041,-3.9407841499328615,-4.050678664016724,-4.162945442962647,-4.293453388977051,-4.408732348251343,-4.521639757919312,-4.59830301361084,-4.708905630874634,1.4702218238830567
DesX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DesY,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Error Phi,-1.581870860692925,-1.5857578823355147,-1.6159996306404565,-1.6429334637604434,-1.6053433474830408,-1.557089056637575,-1.4984884891134482,-1.4437826244636403,-1.386652641679156,-1.3771154361610307,-1.4443341903205094,-1.5000843727811963,-1.4971599411624206,-1.4670894582778227,-1.4168726719565836,-1.3110114946935199,-1.2147105710515598,-1.108721304456722,-1.0031980330937762,-0.8838951949117255,-0.7479172890097765,-0.651639899487064,-0.545068621759629,-0.5049718481086474,-0.48520377497948,-0.45058817354316005,-0.4356357950022338,-0.39427273975598,-0.30792249792899806,-0.22048250333469754,-0.12144355054720801,-0.014381754840372185,0.10739287326166824,0.2518149067728066,0.40758144078826186,0.603768016541594,0.8118735312840797,1.0723262563216305,1.3156202438696165,1.6311479309911054,1.9441708192056217,2.2119420958102882,2.423995458612894,2.613563117808686,2.7847891153552333,2.951969414836637,3.0841351263737016,3.19999581130097,3.2717038451007365,3.372026066565785,-2.8240874736929755
VelD,0.0,0.0019285743013577178,0.038827674071711143,0.016332981251545704,0.029343682835005463,0.025629291407809833,0.02610009730286188,0.021961344837882216,0.02460539854725928,0.02682006130617282,0.08333314381693163,0.0805171015352588,0.07782157559831362,0.07371901414677051,0.07442546609800263,0.06489217985710767,0.06357136775830723,0.06678526777853047,0.06531486934743047,0.06518099862193505,0.06722060740565354,0.06434556614789856,0.06563970282918347,0.0796601518551448,0.08262121088686578,0.08206401436513303,0.07818829170686224,0.07970536301495361,0.07664841486882079,0.0775863504834343,0.07541346238255626,0.07404789643570253,0.07296160048603435,0.07255187184537631,0.0747789027266267,0.07266504525147935,0.042342033742588187,0.040398608652467936,0.04164519128399755,0.04308886695140606,0.04111557393425004,0.03566205048871703,0.0393025698052535,0.04089372877587228,0.04096447980221547,0.0420428868331509,0.044068353205551636,0.040844281603692044,0.039640148451604934,0.0404153402351851,0.04215540473476202
VelE,0.0,0.0019864765020414497,0.03358473581606946,0.009593755709134677,0.042106382990956245,0.04846071120125191,0.04596173170056531,0.04272127755626815,0.04721286014403487,0.0500469914930882,0.07930148049114207,0.07634225706487814,0.09136611883770344,0.09334309652421698,0.08882068660239936,0.11018158563517702,0.10832584152470894,0.10941305758356748,0.10958704821110236,0.10793267491373722,0.1112303653892677,0.11050715677747523,0.11157200080911109,0.10274359233271416,0.09783835400296728,0.1045819530914083,0.0907138853837795,0.10009069091408147,0.11874012673382447,0.11709220728852139,0.12119545275004365,0.11708887658661565,0.11569883011566984,0.11908842475477026,0.12196898448999793,0.11642820440129457,0.08800583056035463,0.0843282337995625,0.08618581467965955,0.08970509481224871,0.0844168630252675,0.0763187072214298,0.08162432027326907,0.0858084586154388,0.07773468392368056,0.08651906935117039,0.08298716613710504,0.08673366978957653,0.08391139760002099,0.08575822536473318,0.08224863028734028
