timestamp,frame_number,blue_robot_x,blue_robot_y,blue_robot_orientation,yellow_robot_x,yellow_robot_y,yellow_robot_orientation,ball_x,ball_y,ball_speed_x,ball_speed_y,ball_speed,ball_angle,blue_robot_strategy,yellow_robot_strategy
1738850504.7883592,0,-669.759033203125,-158.3333282470703,-2.6202919483184814,-598.683837890625,-205.75875854492188,2.100890874862671,-583.7349243164062,-133.3333282470703,,,,,0,2
1738850504.814751,0,-669.759033203125,-158.3333282470703,-2.569577217102051,-602.1845703125,-198.4437713623047,2.0882115364074707,-583.7349243164062,-125.0,0.0,50.20077257271272,50.20077257271272,90.0,0,2
1738850504.8593526,0,-669.759033203125,-158.3333282470703,-2.536694288253784,-605.6797485351562,-190.85568237304688,2.1312360763549805,-583.7349243164062,-112.5,0.0,75.3012048192771,75.3012048192771,90.0,0,2
1738850504.892297,0,-669.759033203125,-158.3333282470703,-2.5176777839660645,-607.2630615234375,-189.10906982421875,2.198200225830078,-583.7349243164062,-104.16666412353516,0.0,50.20081853292074,50.20081853292074,90.0,0,2
1738850504.9387574,0,-669.759033203125,-158.3333282470703,-2.5084691047668457,-607.6388549804688,-189.1763458251953,2.242171287536621,-587.831298828125,-91.66666412353516,-24.676954889871986,75.3012048192771,79.24155191483504,108.14448533735603,0,2
1738850505.038,0,-669.759033203125,-158.3333282470703,-2.5055925846099854,-607.3414306640625,-188.1349639892578,2.3562700748443604,-587.831298828125,-83.33333587646484,0.0,50.20077257271272,50.20077257271272,90.0,0,2
1738850505.0390189,0,-669.759033203125,-158.3333282470703,-2.5063705444335938,-606.7413330078125,-188.10667419433594,2.4275102615356445,-587.831298828125,-70.83333587646484,0.0,75.3012048192771,75.3012048192771,90.0,0,2
1738850505.0391529,0,-669.759033203125,-158.3333282470703,-2.5089120864868164,-606.0718994140625,-188.60211181640625,2.502533435821533,-587.831298828125,-62.5,0.0,50.20081853292074,50.20081853292074,90.0,0,2
1738850505.0952537,0,-669.759033203125,-158.3333282470703,-2.511995792388916,-605.4628295898438,-189.29519653320312,2.5074143409729004,-587.831298828125,-50.0,0.0,75.3012048192771,75.3012048192771,90.0,0,2
1738850505.0956988,0,-669.759033203125,-158.3333282470703,-2.51491641998291,-604.971923828125,-189.99038696289062,2.5013082027435303,-587.831298828125,-41.66666793823242,0.0,50.200795552816736,50.200795552816736,90.0,0,2
1738850505.1682968,0,-669.759033203125,-158.3333282470703,-2.5173354148864746,-604.6119995117188,-190.58709716796875,2.5264487266540527,-587.831298828125,-29.16666603088379,0.0,75.3012163093291,75.3012163093291,90.0,0,2
1738850505.1687005,0,-669.759033203125,-158.3333282470703,-2.519150733947754,-604.3707275390625,-191.0478057861328,2.5386345386505127,-587.831298828125,-20.83333396911621,0.0,50.200795552816736,50.200795552816736,90.0,0,2
1738850505.2389972,0,-669.759033203125,-158.3333282470703,-2.5203959941864014,-604.2249755859375,-191.3727569580078,2.5063323974609375,-587.831298828125,-8.333333015441895,0.0,75.3012105643031,75.3012105643031,90.0,0,2
1738850505.239425,0,-669.759033203125,-158.3333282470703,-2.5211706161499023,-604.1490478515625,-191.58154296875,2.5173909664154053,-587.831298828125,0.0,0.0,50.20080129784274,50.20080129784274,90.0,0,2
1738850505.2472186,0,-669.759033203125,-158.3333282470703,-2.521592617034912,-604.1198120117188,-191.70083618164062,2.5236387252807617,-587.831298828125,8.333333015441895,0.0,50.20080129784274,50.20080129784274,90.0,0,2
1738850505.284885,0,-669.759033203125,-158.3333282470703,-2.521773338317871,-604.1187133789062,-191.7571258544922,2.490269660949707,-583.7349243164062,20.83333396911621,24.676954889871986,75.3012105643031,79.24155737418523,71.85551595624463,0,2
1738850505.3201416,0,-669.759033203125,-158.3333282470703,-2.5218045711517334,-604.1322021484375,-191.77304077148438,2.466904401779175,-583.7349243164062,29.16666603088379,0.0,50.200795552816736,50.200795552816736,90.0,0,2
1738850505.3666065,0,-669.759033203125,-158.3333282470703,-2.521754264831543,-604.1512451171875,-191.76597595214844,2.4883346557617188,-583.7349243164062,37.5,0.0,50.20080704286874,50.20080704286874,90.0,0,2
1738850505.3823333,0,-669.759033203125,-158.3333282470703,-2.521669626235962,-604.17041015625,-191.7481231689453,2.4677600860595703,-583.7349243164062,50.0,0.0,75.3012048192771,75.3012048192771,90.0,0,2
1738850505.4144838,0,-669.759033203125,-158.3333282470703,-2.5215795040130615,-604.1868896484375,-191.727294921875,2.454214096069336,-583.7349243164062,58.33333206176758,0.0,50.200795552816736,50.200795552816736,90.0,0,2
1738850505.452061,0,-669.759033203125,-158.3333282470703,-2.5214993953704834,-604.1996459960938,-191.7079315185547,2.4825031757354736,-583.7349243164062,66.66666412353516,0.0,50.200795552816736,50.200795552816736,90.0,0,2
1738850505.4882789,0,-669.759033203125,-158.3333282470703,-2.5214359760284424,-604.2086791992188,-191.69207763671875,2.50258207321167,-583.7349243164062,75.0,0.0,50.20081853292074,50.20081853292074,90.0,0,2
1738850505.5179832,0,-669.759033203125,-158.3333282470703,-2.521390199661255,-604.2144775390625,-191.68031311035156,2.5155630111694336,-579.6385498046875,83.33333587646484,24.676954889871986,50.20081853292074,55.93812907143048,63.82289335358188,0,2
1738850505.5536528,0,-669.759033203125,-158.3333282470703,-2.521359920501709,-604.2177734375,-191.67233276367188,2.5230448246002197,-579.6385498046875,91.66666412353516,0.0,50.20077257271272,50.20077257271272,90.0,0,2
