timestamp,frame_number,blue_robot_x,blue_robot_y,blue_robot_orientation,yellow_robot_x,yellow_robot_y,yellow_robot_orientation,ball_x,ball_y,ball_speed_x,ball_speed_y,ball_speed,ball_angle
1738852995.7870412,0,311.34967041015625,259.0403137207031,-1.1824584007263184,658.2330932617188,205.21624755859375,2.654348850250244,333.85540771484375,187.5,,,,
1738852995.8185382,0,316.369140625,248.64222717285156,-1.1400601863861084,652.9700317382812,206.68707275390625,2.8273606300354004,337.9518127441406,175.0,24.677138730704065,-75.3012048192771,79.24160916569738,-71.85538834608812
1738852995.8495557,0,321.0966796875,237.41485595703125,-1.164696216583252,647.7462768554688,209.1099395751953,2.9793715476989746,342.0481872558594,166.6666717529297,24.676954889871986,-50.20077257271272,55.93808782514829,-63.82287258625341
1738852995.8931813,0,327.57928466796875,225.579833984375,-1.1841100454330444,642.7041015625,210.24147033691406,3.118283271789551,342.0481872558594,154.1666717529297,0.0,-75.3012048192771,75.3012048192771,-90.0
1738852995.9180725,0,331.2166748046875,215.36729431152344,-1.1755962371826172,635.8953857421875,210.54855346679688,-3.0404179096221924,346.14459228515625,145.8333282470703,24.677138730704065,-50.20086449312876,55.93825141879116,-63.822745131791805
1738852995.9595509,0,336.864013671875,204.22674560546875,-1.1923037767410278,631.97265625,210.38876342773438,-2.8623571395874023,350.240966796875,133.3333282470703,24.676954889871986,-75.3012048192771,79.24155191483504,-71.85551466264398
1738852995.9914603,0,341.9117736816406,192.4154510498047,-1.1526237726211548,626.101806640625,210.0123748779297,-2.7390995025634766,350.240966796875,125.0,0.0,-50.20077257271272,50.20077257271272,-90.0
1738852996.0243216,0,346.51568603515625,182.19088745117188,-1.0794873237609863,622.8894653320312,207.5493927001953,-2.5370919704437256,354.33734130859375,112.5,24.676954889871986,-75.3012048192771,79.24155191483504,-71.85551466264398
1738852996.0620599,0,352.814453125,173.0511016845703,-1.0323491096496582,617.510498046875,203.77206420898438,-2.3848319053649902,358.4337463378906,100.0,24.677138730704065,-75.3012048192771,79.24160916569738,-71.85538834608812
1738852996.0873427,0,360.25384521484375,164.58328247070312,-0.975382387638092,614.6075439453125,201.29421997070312,-2.228628158569336,358.4337463378906,91.66666412353516,0.0,-50.20081853292074,50.20081853292074,-90.0
1738852996.1275704,0,366.39105224609375,156.47938537597656,-0.8625245094299316,611.395263671875,195.7790069580078,-2.0982282161712646,362.5301208496094,79.16666412353516,24.676954889871986,-75.3012048192771,79.24155191483504,-71.85551466264398
