PWM_Right,PWM_Left,RPM_Right,RPM_Left,Timestamp
150,150,0.0,0.0,0.0010006427764892578
150,150,0.0,0.0,0.23048830032348633
150,150,171.43,178.57,0.701164960861206
150,150,200.0,203.57,0.7007243633270264
150,150,196.43,214.29,0.6965732574462891
150,150,200.0,207.14,0.7035684585571289
150,150,196.43,217.86,0.7007014751434326
150,150,200.0,207.14,0.6996297836303711
150,150,196.43,210.71,0.7007849216461182
150,150,196.43,217.86,0.6982195377349854
150,150,200.0,207.14,0.7014627456665039
150,150,196.43,207.14,0.699232816696167
150,150,196.43,207.14,0.7008357048034668
150,150,196.43,217.86,0.6976425647735596
150,150,200.0,221.43,0.700516939163208
150,150,200.0,228.57,0.7009673118591309
150,150,196.43,217.86,0.7001335620880127
150,150,200.0,210.71,0.7003881931304932
150,150,196.43,221.43,0.6997096538543701
150,150,200.0,225.0,0.6997218132019043
150,150,200.0,214.29,0.6991002559661865
150,150,196.43,217.86,0.7018978595733643
150,150,200.0,214.29,0.6999309062957764
150,150,200.0,221.43,0.6997065544128418
150,150,203.57,217.86,0.7001421451568604
150,150,196.43,210.71,0.7003078460693359
150,150,200.0,214.29,0.6999115943908691
150,150,200.0,217.86,0.6989893913269043
150,150,196.43,221.43,0.7010681629180908
150,150,207.14,210.71,0.6988656520843506
150,150,200.0,217.86,0.7005631923675537
