timestamp,frame_number,blue_robot_x,blue_robot_y,blue_robot_orientation,yellow_robot_x,yellow_robot_y,yellow_robot_orientation,ball_x,ball_y,ball_speed_x,ball_speed_y,ball_speed,ball_angle
1738850790.9814403,0,-718.9156494140625,-159.86448669433594,1.4551048278808594,649.274658203125,-308.3333435058594,-3.091757297515869,522.2891845703125,-333.3333435058594,,,,
1738850791.01064,0,-718.9156494140625,-159.00108337402344,1.4579436779022217,649.2753295898438,-308.3333435058594,-3.1143300533294678,522.2891845703125,-333.3333435058594,0.0,0.0,0.0,0.0
1738850791.038561,0,-718.9156494140625,-158.4625701904297,1.4597141742706299,649.27587890625,-308.3333435058594,-3.1298041343688965,522.2891845703125,-333.3333435058594,0.0,0.0,0.0,0.0
1738850791.0807269,0,-718.9156494140625,-158.16783142089844,1.4606832265853882,649.2763671875,-308.3333435058594,-3.085519790649414,522.2891845703125,-333.3333435058594,0.0,0.0,0.0,0.0
1738850791.1118586,0,-718.9156494140625,-160.0697784423828,1.4544306993484497,649.2767333984375,-308.3333435058594,-3.108912229537964,522.2891845703125,-333.3333435058594,0.0,0.0,0.0,0.0
1738850791.1429276,0,-718.9156494140625,-159.36404418945312,1.4567508697509766,649.2769775390625,-308.3333435058594,-3.1255853176116943,522.2891845703125,-333.3333435058594,0.0,0.0,0.0,0.0
1738850791.18036,0,-718.9156494140625,-160.88381958007812,1.4517545700073242,649.277099609375,-308.3333435058594,-3.1364221572875977,522.2891845703125,-333.3333435058594,0.0,0.0,0.0,0.0
1738850791.2144718,0,-720.9108276367188,-159.86546325683594,1.4024945497512817,649.2771606445312,-308.3333435058594,3.1404685974121094,522.2891845703125,-333.3333435058594,0.0,0.0,0.0,0.0
1738850791.2443154,0,-720.2400512695312,-161.15306091308594,1.4159594774246216,647.281982421875,-308.3333435058594,3.1374025344848633,522.2891845703125,-333.3333435058594,0.0,0.0,0.0,0.0
1738850791.276771,0,-719.7062377929688,-159.97703552246094,1.4339057207107544,647.9528198242188,-308.3333435058594,-3.09287691116333,522.2891845703125,-333.3333435058594,0.0,0.0,0.0,0.0
1738850791.3119462,0,-719.3192138671875,-161.16778564453125,1.4401911497116089,646.4913940429688,-308.3333435058594,-3.1107699871063232,522.2891845703125,-333.3333435058594,0.0,0.0,0.0,0.0
1738850791.3474588,0,-719.0628662109375,-159.93997192382812,1.4509813785552979,645.5540161132812,-308.3333435058594,-3.124359369277954,522.2891845703125,-333.3333435058594,0.0,0.0,0.0,0.0
1738850791.382838,0,-718.9103393554688,-159.0800323486328,1.4578253030776978,647.0149536132812,-308.3333435058594,-3.133793592453003,522.2891845703125,-333.3333435058594,0.0,0.0,0.0,0.0
1738850791.4128733,0,-718.8328247070312,-158.53199768066406,1.4616661071777344,648.0883178710938,-308.3333435058594,-3.1397464275360107,518.1927490234375,-333.3333435058594,-24.677322571536145,0.0,24.677322571536145,180.0
1738850791.4448724,0,-718.804931640625,-158.22242736816406,1.4634171724319458,648.8092041015625,-308.3333435058594,3.140122652053833,522.2891845703125,-333.3333435058594,24.677322571536145,0.0,24.677322571536145,0.0
1738850791.4778836,0,-718.8065185546875,-158.0795135498047,1.4638458490371704,647.2507934570312,-308.3333435058594,3.1386325359344482,522.2891845703125,-333.3333435058594,0.0,0.0,0.0,0.0
1738850791.5089,0,-718.8229370117188,-158.04257202148438,1.4635348320007324,648.1500854492188,-308.3333435058594,3.138292074203491,522.2891845703125,-333.3333435058594,0.0,0.0,0.0,0.0
1738850791.5429094,0,-718.8446655273438,-158.06527709960938,1.4628889560699463,648.7728271484375,-308.3333435058594,3.1385903358459473,522.2891845703125,-333.3333435058594,0.0,0.0,0.0,0.0
1738850791.5805054,0,-718.865966796875,-160.14474487304688,1.455492615699768,649.1644897460938,-308.3333435058594,3.1391732692718506,522.2891845703125,-333.3333435058594,0.0,0.0,0.0,0.0
1738850791.6131551,0,-718.884033203125,-161.54873657226562,1.450402021408081,649.3814697265625,-308.3333435058594,3.1398186683654785,522.2891845703125,-333.3333435058594,0.0,0.0,0.0,0.0
1738850791.6474612,0,-718.8978271484375,-160.375732421875,1.4538949728012085,649.4778442382812,-308.3333435058594,3.140403985977173,522.2891845703125,-333.3333435058594,0.0,0.0,0.0,0.0
1738850791.6808178,0,-718.9074096679688,-159.48150634765625,1.4565811157226562,649.49853515625,-308.3333435058594,3.1408743858337402,522.2891845703125,-333.3333435058594,0.0,0.0,0.0,0.0
1738850791.7111075,0,-718.91357421875,-160.88778686523438,1.4517968893051147,649.4774169921875,-308.3333435058594,3.141218662261963,522.2891845703125,-333.3333435058594,0.0,0.0,0.0,0.0
1738850791.7473977,0,-718.9169921875,-161.84005737304688,1.448575735092163,649.4379272460938,-308.3333435058594,-3.072627544403076,522.2891845703125,-333.3333435058594,0.0,0.0,0.0,0.0
1738850791.7837348,0,-718.9185791015625,-160.39361572265625,1.45328950881958,649.3945922851562,-308.3333435058594,-3.0957586765289307,522.2891845703125,-333.3333435058594,0.0,0.0,0.0,0.0
1738850791.8086956,0,-718.9189453125,-161.385986328125,1.450016736984253,649.3555297851562,-308.3333435058594,-3.1141855716705322,522.2891845703125,-333.3333435058594,0.0,0.0,0.0,0.0
1738850791.8458178,0,-718.918701171875,-160.02516174316406,1.4544976949691772,649.3242797851562,-308.3333435058594,-3.127553701400757,522.2891845703125,-333.3333435058594,0.0,0.0,0.0,0.0
