Timestamp,PWM_Left,PWM_Right,RPM_Left,RPM_Right,X,Y,Orientation,Displacement_X,Displacement_Y,Displacement_Total,Velocity_X,Velocity_Y,Velocity_Total
1738252756.9378438,255,252,70.42,35.21,0.5673494262695312,0.14837692260742188,-0.14725108444690704,0,0,0,0,0,0
1738252756.954465,255,252,70.42,35.21,0.5673494262695312,0.14721463012695313,-0.17126399278640747,0.0,-0.00116229248046875,0.00116229248046875,0.0,-8.507867364746945,8.507867364746945
1738252756.9710984,255,252,70.42,35.21,0.5673494262695312,0.14642057800292968,-0.18731720745563507,0.0,-0.0007940521240234375,0.0007940521240234375,0.0,-0.09488322270020798,0.09488322270020798
1738252756.9878385,255,252,70.42,35.21,0.5673494262695312,0.14795860290527343,-0.1493922770023346,0.0,0.00153802490234375,0.00153802490234375,0.0,0.043180165466277544,0.043180165466277544
1738252757.004435,255,252,70.42,35.21,0.5673494262695312,0.1490399169921875,-0.12280530482530594,0.0,0.0010813140869140624,0.0010813140869140624,0.0,0.035936167852558515,0.035936167852558515
1738252757.0212355,255,252,70.42,35.21,0.5673494262695312,0.14770265197753907,-0.16383998095989227,0.0,-0.0013372650146484374,0.0013372650146484374,0.0,-0.040071270887956964,0.040071270887956964
1738252757.037738,255,252,70.42,35.21,0.5673494262695312,0.14877839660644532,-0.14009743928909302,0.0,0.00107574462890625,0.00107574462890625,0.0,0.028920852242135222,0.028920852242135222
1738252757.054555,255,252,70.42,35.21,0.5673494262695312,0.14950515747070312,-0.12371117621660233,0.0,0.0007267608642578125,0.0007267608642578125,0.0,0.02338731605517961,0.02338731605517961
1738252757.0711038,255,252,70.42,35.21,0.5653541870117188,0.14994882202148438,0.0010322995949536562,-0.0019952392578125,0.00044366455078125,0.00204397111758853,-0.057104722652491655,0.012697896266777664,0.05849945229504153
1738252757.0878794,255,252,105.63,105.63,0.5620346069335938,0.15018373107910157,0.0761178731918335,-0.003319580078125,0.0002349090576171875,0.0033278813320842702,-0.09272328183271177,0.006561534363345764,0.09295515438656356
1738252757.1044846,255,252,105.63,105.63,0.5579244384765625,0.14824847412109374,0.06539281457662582,-0.00411016845703125,-0.0019352569580078124,0.004542984067624748,-0.14820068085691687,-0.06977971871668787,0.16380674879452864
1738252757.1212459,255,252,105.63,105.63,0.5534107055664063,0.14893930053710938,0.10434438288211823,-0.00451373291015625,0.000690826416015625,0.004566292360470648,-0.11664870393532924,0.017853073648020013,0.1180070013536219
1738252757.1380143,255,252,105.63,105.63,0.5467545776367188,0.14741615295410157,0.07144977152347565,-0.0066561279296875,-0.0015231475830078125,0.006828178203297608,-0.21784250444770437,-0.04984974562252255,0.22347338517747098
1738252757.1547134,255,252,105.63,105.63,0.5387794189453124,0.1464081573486328,0.04434598237276077,-0.00797515869140625,-0.00100799560546875,0.008038607546942253,-0.2466122575365492,-0.03116979629752505,0.24857425805682792
1738252757.1713557,255,252,105.63,105.63,0.5320916748046876,0.14580877685546875,0.02409597672522068,-0.006687744140625,-0.0005993804931640625,0.006714549773890251,-0.2114635768079669,-0.018952151919728003,0.21231115933649689
1738252757.1881104,255,252,105.63,105.63,0.526435546875,0.14347541809082032,-0.043573930859565735,-0.0056561279296875,-0.0023333587646484377,0.006118524845218224,-0.15197350467319654,-0.06269460548484014,0.16439756591736338
1738252757.2047305,255,252,105.63,105.63,0.5195367431640625,0.1440489044189453,-0.034027062356472015,-0.0068988037109375,0.000573486328125,0.006922599165818524,-0.20506488076255272,0.0170467098968853,0.20577219355507811
1738252757.221429,255,252,105.63,105.63,0.5138103637695313,0.14256922912597655,-0.07279576361179352,-0.00572637939453125,-0.00147967529296875,0.005914461931801932,-0.19040736953092174,-0.04920056127666658,0.1966612864842087
1738252757.2382066,255,252,105.63,105.63,0.5089188842773438,0.1437104034423828,-0.04799162596464157,-0.0048914794921875,0.00114117431640625,0.005022832910113192,-0.13587887939598647,0.03170032452480297,0.13952770492230876
1738252757.2548487,255,252,105.63,105.63,0.5025743103027344,0.14662925720214845,0.032168325036764145,-0.006344573974609375,0.002918853759765625,0.006983790245288624,-0.212102946685477,0.09757904720913735,0.23347233336501644
1738252757.2876272,255,252,105.63,105.63,0.49521966552734376,0.14657984924316406,0.025892147794365883,-0.007354644775390625,-4.9407958984375e-05,0.007354810733023089,-0.22224827447081372,-0.0014930474502514446,0.22225328950533635
1738252757.304288,255,252,105.63,105.63,0.49121728515625,0.14644757080078125,0.018968913704156876,-0.00400238037109375,-0.0001322784423828125,0.004004565671984387,-0.11237239689669254,-0.0037139012912597315,0.11243375225931497
1738252757.3209887,255,252,105.63,105.63,0.48551727294921876,0.14426231384277344,0.06662236899137497,-0.00570001220703125,-0.0021852569580078124,0.006104546431376112,-0.16633677033326374,-0.0637697905795589,0.17814181809856364
1738252757.3377593,255,252,105.63,105.63,0.47858944702148437,0.14276962280273436,-0.010456973686814308,-0.006927825927734375,-0.0014926910400390625,0.007086811598032048,-0.26516346513601563,-0.05713294945383864,0.27124866295750444
1738252757.3544207,255,252,105.63,105.63,0.4728458251953125,0.14184596252441406,0.03826145455241203,-0.005743621826171875,-0.0009236602783203125,0.005817416951863147,-0.15925284256174307,-0.025610238510762072,0.16129895281920914
1738252757.3711126,255,252,104.9,104.9,0.4679455871582031,0.1413465118408203,-0.030681779608130455,-0.004900238037109375,-0.00049945068359375,0.004925625219774217,-0.144381137032588,-0.014715868299227976,0.14512914769481416
