     ;0                     ;1                    ;2                     ;3                     ;4                     ;5                     ;6                      ;7                     ;8                     ;9                     ;10                    ;11                    ;12                     ;13                    ;14                     ;15                     ;16                    ;17                    ;18                    ;19                    ;20                   ;21                    ;22                   ;23                    ;24                     ;25                   ;26                   ;27                     ;28                   ;29                    ;30                     ;31                  ;32                   ;33                   ;34                    ;35                    ;36                    ;37                   ;38                   ;39                   ;40                   ;41                   ;42                   ;43                   ;44                   ;45                   ;46                    ;47                   ;48                   ;49                    ;50
X    ;0.7859261631965637    ;0.7857306599617004   ;0.7785593271255493    ;0.7676860094070435    ;0.7572328448295593    ;0.7424266338348389    ;0.7231049537658691     ;0.7013879418373108    ;0.6800711154937744    ;0.6590931415557861    ;0.6377847790718079    ;0.6162499189376831    ;0.5924773812294006     ;0.5628132820129395    ;0.528281033039093      ;0.4924539625644684     ;0.45940670371055603   ;0.42804446816444397   ;0.39805832505226135   ;0.365072637796402     ;0.3421996235847473   ;0.3196461498737335    ;0.2911696135997772   ;0.25908830761909485   ;0.22560147941112518    ;0.19353780150413513  ;0.16965314745903015  ;0.14951151609420776    ;0.12900884449481964  ;0.10791371762752533   ;0.08449829369783401    ;0.0626610815525055  ;0.038710061460733414 ;0.01927592046558857  ;-0.000613922078628093 ;-0.022834118455648422 ;-0.045368392020463943 ;-0.06721311062574387 ;-0.09004730731248856 ;-0.11133209615945816 ;-0.13373351097106934 ;-0.15522171556949615 ;-0.17466267943382263 ;-0.1956295520067215  ;-0.2158515304327011  ;-0.23768901824951172 ;-0.2586769163608551   ;-0.2792113125324249  ;-0.3079414367675781  ;-0.33890366554260254  ;-0.3704463541507721
Y    ;-0.010333175770938396 ;-0.01053604669868946 ;-0.010505767539143562 ;-0.01021182257682085  ;-0.009694664739072323 ;-0.009273548610508442 ;-0.00890361424535513   ;-0.008493981324136257 ;-0.007620342541486025 ;-0.006637105718255043 ;-0.006207195110619068 ;-0.005452635232359171 ;-0.0045033409260213375 ;-0.003617169102653861 ;-0.0022753446828573942 ;-0.0012083022156730294 ;5.910644540563226e-05 ;0.0008634438272565603 ;0.0014027024153620005 ;0.0018800226971507072 ;0.002365831285715103 ;0.0030514292884618044 ;0.004122697748243809 ;0.004711080342531204  ;0.006372629664838314   ;0.00768898893147707  ;0.008675143122673035 ;0.009520264342427254   ;0.010316953994333744 ;0.010863100178539753  ;0.011637368239462376   ;0.01173298992216587 ;0.012105763889849186 ;0.011863937601447105 ;0.01203883532434702   ;0.011604050174355507  ;0.011961974203586578  ;0.012280045077204704 ;0.012113918550312519 ;0.011860568076372147 ;0.01211545430123806  ;0.012603992596268654 ;0.012629753910005093 ;0.012380342930555344 ;0.011378203518688679 ;0.0093472795560956   ;0.0072656297124922276 ;0.004896669648587704 ;0.001102201989851892 ;-0.003308273386210203 ;-0.009031359106302261
Gama ;-1.5721590518951416   ;-1.5687922239303589  ;-1.5682929754257202   ;-1.567777156829834    ;-1.5709017515182495   ;-1.5789276361465454   ;-1.5888688564300537    ;-1.605528712272644    ;-1.600509762763977    ;-1.6012245416641235   ;-1.5966835021972656   ;-1.5909245014190674   ;-1.6148930788040161    ;-1.6079376935958862   ;-1.604762315750122     ;-1.6012921333312988    ;-1.5924139022827148   ;-1.589534878730774    ;-1.6023399829864502   ;-1.5961940288543701   ;-1.603716254234314   ;-1.5960313081741333   ;-1.599830985069275   ;-1.6125537157058716   ;-1.6120493412017822    ;-1.6149848699569702  ;-1.6129865646362305  ;-1.6074541807174683    ;-1.5922898054122925  ;-1.5838850736618042   ;-1.5856709480285645    ;-1.5791345834732056 ;-1.586118459701538   ;-1.5865603685379028  ;-1.5826141834259033   ;-1.576420545578003    ;-1.5797615051269531   ;-1.574999451637268   ;-1.574906826019287   ;-1.5859440565109253  ;-1.6028488874435425  ;-1.5807093381881714  ;-1.5543971061706543  ;-1.5368317365646362  ;-1.495898962020874   ;-1.4758142232894897  ;-1.4644761085510254   ;-1.4512381553649902  ;-1.4242790937423706  ;-1.3999987840652466   ;-1.4300786256790161
Vr   ;0.035025354474782944  ;0.022793464362621307 ;0.014255719259381294  ;-0.011577039025723934 ;-0.024983933195471764 ;-0.03234878182411194  ;0.008395548909902573   ;0.039039865136146545  ;0.03185230493545532   ;0.0010321919107809663 ;-0.03447858244180679  ;-0.036204706877470016 ;-0.030070606619119644  ;0.022076232358813286  ;0.053472913801670074   ;0.0219802837818861     ;-0.009702670387923717 ;-0.04664752632379532  ;-0.04213776811957359  ;0.01736733689904213   ;0.040809981524944305 ;-0.005379053298383951 ;-0.02359074540436268 ;-0.01874426007270813  ;0.0007380735478363931  ;0.041661445051431656 ;0.02692827209830284  ;-0.005441252142190933  ;-0.03839380294084549 ;-0.038805898278951645 ;-0.0011323754442855716 ;0.05154094099998474 ;0.03847626969218254  ;-0.12133301049470901 ;0.11642946302890778   ;-0.08404491096735     ;-0.016745703294873238 ;0.05012321099638939  ;0.062428999692201614 ;-0.09448976069688797 ;0.1509818732738495   ;-0.18517203629016876 ;-0.16799849271774292 ;0.20743338763713837  ;-0.1116190254688263  ;0.1262824833393097   ;-0.13177955150604248  ;0.13501232862472534  ;-0.19309619069099426 ;-0.058414801955223083 ;-0.024696819484233856
Vl   ;0.031364474445581436  ;0.0219810102134943   ;0.01737591251730919   ;-0.007597430609166622 ;-0.027671149000525475 ;-0.031983423978090286 ;-0.0010130958398804069 ;0.0397736132144928    ;0.035166021436452866  ;0.011759578250348568  ;-0.025817768648266792 ;-0.037416547536849976 ;-0.006382228806614876  ;0.015084505081176758  ;0.054251816123723984   ;0.029249588027596474   ;-0.006775345653295517 ;-0.03950908035039902  ;-0.04312744736671448  ;0.013307824730873108  ;0.040569137781858444 ;0.002667092252522707  ;-0.02002502605319023 ;-0.020701849833130836 ;-0.0018002853030338883 ;0.03997437283396721  ;0.03152726963162422  ;-0.0025497805327177048 ;-0.03203026205301285 ;-0.04251641780138016  ;-0.008466927334666252  ;0.05158548057079315 ;0.038911812007427216 ;-0.12976248562335968 ;0.12061791121959686   ;-0.08343487232923508  ;-0.028305400162935257 ;0.044149111956357956 ;0.069791279733181    ;-0.09440088272094727 ;0.14347529411315918  ;-0.19175569713115692 ;0.23132242262363434  ;0.19093014299869537  ;-0.1238788440823555  ;0.12137502431869507  ;-0.1284157633781433   ;0.16071386635303497  ;-0.2015654593706131  ;0.16696205735206604   ;-0.04030751809477806
Xd   ;-0.7                  ;-0.7                 ;-0.7                  ;-0.7                  ;-0.7                  ;-0.7                  ;-0.7                   ;-0.7                  ;-0.7                  ;-0.7                  ;-0.7                  ;-0.7                  ;-0.7                   ;-0.7                  ;-0.7                   ;-0.7                   ;-0.7                  ;-0.7                  ;-0.7                  ;-0.7                  ;-0.7                 ;-0.7                  ;-0.7                 ;-0.7                  ;-0.7                   ;-0.7                 ;-0.7                 ;-0.7                   ;-0.7                 ;-0.7                  ;-0.7                   ;-0.7                ;-0.7                 ;-0.7                 ;-0.7                  ;-0.7                  ;-0.7                  ;-0.7                 ;-0.7                 ;-0.7                 ;-0.7                 ;-0.7                 ;-0.7                 ;-0.7                 ;-0.7                 ;-0.7                 ;-0.7                  ;-0.7                 ;-0.7                 ;-0.7                  ;
Yd   ;0.0                   ;0.0                  ;0.0                   ;0.0                   ;0.0                   ;0.0                   ;0.0                    ;0.0                   ;0.0                   ;0.0                   ;0.0                   ;0.0                   ;0.0                    ;0.0                   ;0.0                    ;0.0                    ;0.0                   ;0.0                   ;0.0                   ;0.0                   ;0.0                  ;0.0                   ;0.0                  ;0.0                   ;0.0                    ;0.0                  ;0.0                  ;0.0                    ;0.0                  ;0.0                   ;0.0                    ;0.0                 ;0.0                  ;0.0                  ;0.0                   ;0.0                   ;0.0                   ;0.0                  ;0.0                  ;0.0                  ;0.0                  ;0.0                  ;0.0                  ;0.0                  ;0.0                  ;0.0                  ;0.0                   ;0.0                  ;0.0                  ;0.0                   ;
