,0
Best fit,0.013462946784908971
Pesos Bias,"[ 3.93703534 -1.89488724  3.6771856   4.94980664  9.27872651  9.94670394
  8.61880408 -9.30235962 -8.8425609   1.999871    9.72847519  5.80565223
 -5.89829268 -9.24318711  4.84710975 -1.29447811 -7.55715856 -1.05678974
  0.65619125 -3.24201729 -9.31237164  9.74800703 -9.61329507  3.67181368
 -9.45586029  0.34022364 -1.84309304  2.72621482 -6.64068695  9.69853762
 -7.75692035 -3.69307641 -0.05690086 -3.5971124  -9.45166793 -5.62530617
  0.84265988  9.37007643  9.37544321 -8.61498182  5.83879834 -7.22080176
  8.86986818  9.08990467  0.65986889 -9.1332903  -3.43077447]"
