;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
X;0.6799716353416443;0.6800894141197205;0.6801530718803406;0.6797480583190918;0.6745509505271912;0.6668844819068909;0.6560022830963135;0.6420643329620361;0.6272618770599365;0.6152960658073425;0.6015203595161438;0.5894957780838013;0.5724796652793884;0.5533744692802429;0.5274113416671753;0.5043633580207825;0.4814518392086029;0.45551902055740356;0.4326847791671753;0.4097577631473541;0.3852972090244293;0.3631177246570587;0.33897969126701355;0.3132784068584442;0.2890610694885254;0.26453423500061035;0.24177175760269165;0.21729052066802979;0.19414253532886505;0.17261512577533722;0.15018439292907715;0.1259336769580841;0.09989742934703827;0.07569075375795364;0.05283861234784126;0.031467679888010025;0.012443727813661098;-0.0006238079513423145;-0.010880354791879654;-0.01939581334590912;-0.027369234710931778;-0.031867410987615585;-0.03397544473409653;-0.034288112074136734;-0.03422949090600014;-0.034135572612285614;-0.034093696624040604;-0.03399096056818962;-0.03399832919239998;-0.03415048122406006
Y;-0.005899632349610329;-0.006005794741213322;-0.006317563820630312;-0.006577582564204931;-0.0061683994717895985;-0.005728176329284906;-0.005671467632055283;-0.0052489484660327435;-0.004727078601717949;-0.004431387409567833;-0.004376864992082119;-0.004284013994038105;-0.0037948540411889553;-0.004083719104528427;-0.004085490945726633;-0.0037279960233718157;-0.003860938362777233;-0.004544396419078112;-0.0050756242126226425;-0.005084540694952011;-0.00515879737213254;-0.004697863012552261;-0.004697742406278849;-0.005213113501667976;-0.005712565500289202;-0.006489017978310585;-0.007061802316457033;-0.008133458904922009;-0.009044243022799492;-0.009591384790837765;-0.010056196711957455;-0.010893946513533592;-0.012413842603564262;-0.01365294773131609;-0.014617174863815308;-0.01597565971314907;-0.01711190678179264;-0.01826595701277256;-0.018949469551444054;-0.019539102911949158;-0.020039809867739677;-0.020311720669269562;-0.020347746089100838;-0.020403703674674034;-0.02061142772436142;-0.02089826576411724;-0.021007882431149483;-0.021240511909127235;-0.021392032504081726;-0.02137203887104988
Gama;-1.6197049617767334;-1.6235789060592651;-1.6236200332641602;-1.621055245399475;-1.614881157875061;-1.6041520833969116;-1.5993869304656982;-1.6018028259277344;-1.5981972217559814;-1.5914467573165894;-1.586101770401001;-1.578647494316101;-1.5790858268737793;-1.5710886716842651;-1.5660309791564941;-1.5551214218139648;-1.5437617301940918;-1.5451767444610596;-1.5542701482772827;-1.5625814199447632;-1.5739511251449585;-1.5587984323501587;-1.5538291931152344;-1.5506837368011475;-1.5484304428100586;-1.5469149351119995;-1.5378389358520508;-1.5355786085128784;-1.5397093296051025;-1.539357304573059;-1.5299665927886963;-1.5222578048706055;-1.5185655355453491;-1.517386794090271;-1.5101150274276733;-1.5030527114868164;-1.5057026147842407;-1.5038986206054688;-1.5029816627502441;-1.4964574575424194;-1.4970110654830933;-1.4938392639160156;-1.4884151220321655;-1.4859113693237305;-1.4872493743896484;-1.4873626232147217;-1.4834071397781372;-1.4810820817947388;-1.4805511236190796;-1.482235312461853
Vr;-0.027215592563152313;-0.01361159235239029;0.0026294169947504997;0.025027045980095863;0.035028401762247086;0.06430634111166;0.04213275387883186;0.03965574502944946;0.03725837171077728;0.0255560502409935;-0.15997935831546783;-0.16859988868236542;0.07179689407348633;0.12663938105106354;0.1841684728860855;-0.14394117891788483;-0.09074665606021881;-0.015160514041781425;0.05957697704434395;0.12545157968997955;-0.038625024259090424;-0.11250141263008118;-0.04188085347414017;0.04096950590610504;0.10212927311658859;0.0334150493144989;-0.03677074983716011;0.004697621334344149;0.05064530670642853;-0.12016412615776062;-0.06826962530612946;0.002789434976875782;0.08099890500307083;0.12634390592575073;-0.09394972026348114;-0.013691294007003307;0.03341613709926605;0.04619568958878517;-0.1282980889081955;-0.11212155222892761;-0.07805951684713364;0.1221996396780014;0.20978501439094543;-0.0294877290725708;-0.0631382167339325;-0.09244400262832642;-0.09131152927875519;-0.08450997620820999;0.18290036916732788;0.18308430910110474
Vl;-0.02086290530860424;-0.007108171470463276;-0.0006999277975410223;0.04419688135385513;0.04453371465206146;0.05346200615167618;0.0448073074221611;0.0488685742020607;0.0292910635471344;0.033612608909606934;-0.16036318242549896;-0.14475034177303314;0.07259723544120789;0.1529097706079483;0.126979798078537;-0.12558972835540771;-0.06794551014900208;0.014481364749372005;0.08361876010894775;0.13780824840068817;-0.14130641520023346;-0.08360475301742554;-0.0066306814551353455;0.061338938772678375;0.1200583204627037;-0.059069111943244934;-0.02681558206677437;0.015401303768157959;0.05782059580087662;-0.10587756335735321;-0.04607520252466202;0.03527139499783516;0.09788744151592255;-0.021134385839104652;-0.050775106996297836;0.02680017426609993;0.029100479558110237;0.046110980212688446;-0.11963620036840439;-0.08304738998413086;-0.06875995546579361;0.15795591473579407;0.00709776533767581;-0.039499592036008835;-0.0754033550620079;-0.09430700540542603;-0.08947813510894775;-0.07877306640148163;0.18462161719799042;0.1817649006843567
Xd;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Yd;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
