,0
Best fit,1.0102599405720168e-05
Pesos Bias,"[-1.6126404   0.95034367 -1.4844088   1.64608987 -1.5344999   1.09183698
  1.98748231 -0.52942105 -1.32135429 -1.25368043 -1.0854856  -1.75129075
 -1.52950639 -0.25037567 -1.83937275 -1.29487366  0.23471917 -0.4179283
 -1.54112903 -1.44593482 -0.45133445 -0.46830354 -1.30157344  0.65301079
 -1.5006404   0.08638865]"
