,0
Best fit,6.429054751253262e-05
Pesos Bias,"[-1.1585034   1.30400945 -1.72856505  1.53359208  0.92106887 -1.6342889
  0.09160606 -1.71695957 -1.52733712 -0.57408328  1.85983563 -1.66006917
 -1.45336205 -1.50139028 -1.82315072 -1.30613306 -0.9459656   1.55889778
  0.56153364 -1.97716601 -1.81674902 -1.7900338   1.44684573 -0.16671471
 -1.97892571  1.03500136]"
