,0
Best fit,5.424213036843649e-06
Pesos Bias,"[-1.86539771  0.53528425 -1.47698138  1.12343521  1.06236138 -1.33620477
  1.55509017 -1.30514225 -1.00952825 -1.43411527 -1.51864484  0.23769847
  1.39429425 -1.08997443  0.14244564 -0.71917153  1.56129433 -1.02358126
  1.26473143  1.89268961 -1.84847748 -1.37862971 -1.92573498 -1.45635177
 -1.31310969 -0.32843339]"
