Left Wheel Speed,Right Wheel Speed,Position X,Position Y,Robot phi,Error phi,Ball Position X,Ball Position Y,Desired Phi
0.01,-0.01,-0.6502125859260559,0.4372760057449341,-1.2641205709604595,-1.259711580428958,-0.43544113636016846,-0.23070357739925385,-1.259711580428958
4.9409435350851645,5.059056464914835,-0.6501798033714294,0.4372085630893707,-1.2616008284574265,0.004393931114774707,-0.43544113636016846,-0.23070357739925385,-1.2597266398456848
4.987445010726439,5.01255498927356,-0.6494764089584351,0.430950790643692,-1.261065148915088,0.0036655382129933134,-0.43544113636016846,-0.23070357739925385,-1.2579352902444332
4.765035142481832,5.234964857518168,-0.6476469039916992,0.4036025404930115,-1.2510399816609794,0.013112070822196786,-0.43544113636016846,-0.23070357739925385,-1.2479530780928911
4.708443913220204,5.291556086779795,-0.6455755233764648,0.3724325895309448,-1.2386002552917081,0.015494956194111564,-0.43544113636016846,-0.23070357739925385,-1.2355450254668678
4.729445254850406,5.270554745149594,-0.642171323299408,0.34138062596321106,-1.2270565861653255,0.014565796505021433,-0.43544113636016846,-0.23070357739925385,-1.2240344587866867
4.768323650522145,5.231676349477854,-0.6368545293807983,0.309940367937088,-1.2171717285876038,0.012875557143175342,-0.43544113636016846,-0.23070357739925385,-1.2141810290221502
4.836663382625521,5.163336617374479,-0.6310169696807861,0.2833290994167328,-1.210202699579626,0.009936137410276658,-0.43544113636016846,-0.23070357739925385,-1.2072355911773271
4.887296127283134,5.112703872716865,-0.6237491369247437,0.25718480348587036,-1.2053940010103732,0.007755658883138228,-0.43544113636016846,-0.23070357739925385,-1.2024470406964878
4.9329292031170615,5.067070796882938,-0.6138010621070862,0.22752247750759125,-1.2025323136767012,0.005793944023829933,-0.43544113636016846,-0.23070357739925385,-1.1996000569865433
4.9929023541007345,5.0070976458992655,-0.6023433208465576,0.19771189987659454,-1.2022294807849991,0.0032276251230936026,-0.43544113636016846,-0.23070357739925385,-1.1993046885536076
5.036508366203212,4.963491633796787,-0.5918102860450745,0.17253579199314117,-1.2037871710763361,0.0013629927715763657,-0.43544113636016846,-0.23070357739925385,-1.2008664880134228
5.065207847633562,4.934792152366438,-0.580802321434021,0.14726616442203522,-1.2065693725753681,0.00013749867892531853,-0.43544113636016846,-0.23070357739925385,-1.2036496723974108
5.086538219923125,4.913461780076874,-0.5695174932479858,0.12180091440677643,-1.2102616699587547,-0.0007709867472278642,-0.43544113636016846,-0.23070357739925385,-1.207340359322596
0.01,0.01,-0.5631465911865234,0.10724290460348129,-1.1127235759941887,0.10010734940563171,-0.39544111490249634,-0.23070357739925385,-1.110154320553123
-0.01,0.01,-0.5548178553581238,0.08957456797361374,-0.7197537238705405,0.3943598338318609,-0.18844112753868103,-0.23070357739925385,-0.7183637421623278
-0.01,0.01,-0.5546581745147705,0.0885050818324089,-0.5025463690677403,0.21852112489214848,-0.07244112342596054,-0.17570358514785767,-0.501232598978392
0.01,0.01,-0.5545007586479187,0.0883452519774437,-0.3831395157197779,0.12034210847360555,-0.03444112837314606,-0.12070357799530029,-0.38220426059413476
0.01,0.01,-0.5544971227645874,0.08832252770662308,-0.30585132671755844,0.07797270276025675,-0.027441127225756645,-0.0777035802602768,-0.30516681295952114
5.003511062765456,4.996488937234543,-0.5545499324798584,0.08840648829936981,-0.3060011320622179,0.0005683225813898352,-0.027441127225756645,-0.0777035802602768,-0.3052830041361686
4.789000479282354,5.210999520717646,-0.5504849553108215,0.08202674239873886,-0.29699848584493166,0.00961030202863783,-0.027441127225756645,-0.0777035802602768,-0.2963908300335801
3.9856159941629588,6.014384005837041,-0.5370173454284668,0.05417540669441223,-0.2537181015958846,0.043753554899725544,-0.027441127225756645,-0.0777035802602768,-0.2532449309452061
4.218754417301114,5.781245582698885,-0.5276157855987549,0.03412001579999924,-0.2203849567340655,0.03376603121102975,-0.027441127225756645,-0.0777035802602768,-0.21995207038485484
3.9079689565529283,6.092031043447071,-0.511703610420227,0.0071688308380544186,-0.17379163221365712,0.04688588876645877,-0.027441127225756645,-0.0777035802602768,-0.17349906796760672
4.246549255473739,5.75345074452626,-0.4972016513347626,-0.010830694809556007,-0.14164440044720333,0.03238644918667272,-0.027441127225756645,-0.0777035802602768,-0.1414051830269844
4.0350857651865955,5.964914234813404,-0.4738805890083313,-0.03274692967534065,-0.10047472642849808,0.04128229043201899,-0.027441127225756645,-0.0777035802602768,-0.10036211001518434
4.267014651224207,5.7329853487757925,-0.45158979296684265,-0.048327911645174026,-0.06920068488073089,0.03132719092452246,-0.027441127225756645,-0.0777035802602768,-0.06914753550397562
4.211190585545111,5.788809414454888,-0.4195100665092468,-0.06374476104974747,-0.03554481653065565,0.03361274521001249,-0.027441127225756645,-0.0777035802602768,-0.035587939670718396
4.543276861096227,5.456723138903772,-0.39302435517311096,-0.07180506736040115,-0.01605796260409468,0.01941168817737293,-0.027441127225756645,-0.0777035802602768,-0.016133128353282723
4.687426481675742,5.312573518324257,-0.3610902726650238,-0.07675677537918091,-0.0027214924889263758,0.013220244142625806,-0.027441127225756645,-0.0777035802602768,-0.0028377184614688726
4.897169321788144,5.1028306782118555,-0.334117591381073,-0.07817642390727997,0.001665949781446162,0.0042633234658075924,-0.027441127225756645,-0.0777035802602768,0.0015418309768812164
5.089306575661765,4.910693424338235,-0.3025684654712677,-0.07708191871643066,-0.0021444641134558073,-0.003925487091856428,-0.027441127225756645,-0.0777035802602768,-0.002259537310410266
