PWM_Right,RPM_Right_Mean
100,143.7473509933775
105,141.28739999999996
112,162.86013245033112
115,167.21266666666665
120,165.0400666666667
125,158.4562913907285
126,182.19039735099335
130,176.85205298013244
135,180.81807947019865
140,188.7908609271523
145,186.6385123966942
150,184.5885123966942
155,86.00834710743803
160,202.9701098901099
165,209.28230769230768
170,197.68999999999997
175,214.45263736263735
180,198.28384615384613
185,202.05516483516487
191,211.61835164835162
195,208.59890109890105
195,206.1632967032967
200,201.66758241758237
200,201.24813186813188
205,207.9714285714286
210,208.12054945054948
215,221.9056043956044
220,247.3585555555555
225,237.98087912087905
230,191.803
235,213.93681318681323
240,189.00544444444438
245,218.23933333333335
250,197.76362637362635
255,197.37098901098906
