Timestamp,PWM_Left,PWM_Right,RPM_Left,RPM_Right,X,Y,Orientation,Displacement_X,Displacement_Y,Displacement_Total,Velocity_X,Velocity_Y,Velocity_Total
1738198897.5095413,145,148,102.74,136.99,0.5755421752929688,0.14166667175292968,-0.11418469995260239,0,0,0,0,0,0
1738198897.5263295,145,148,102.74,136.99,0.5755421752929688,0.14166667175292968,-0.05894522741436958,0.0,0.0,0.0,0.0,0.0,0.0
1738198897.5429752,145,148,102.74,136.99,0.5755421752929688,0.14166667175292968,-0.022136755287647247,0.0,0.0,0.0,0.0,0.0,0.0
1738198897.559641,145,148,102.74,136.99,0.5755421752929688,0.14166667175292968,-0.05401266738772392,0.0,0.0,0.0,0.0,0.0,0.0
1738198897.5764818,145,148,102.74,136.99,0.5755421752929688,0.14166667175292968,-0.07848696410655975,0.0,0.0,0.0,0.0,0.0,0.0
1738198897.5934262,145,148,102.74,136.99,0.5755421752929688,0.14166667175292968,-0.09564071893692017,0.0,0.0,0.0,0.0,0.0,0.0
1738198897.609778,145,148,102.74,136.99,0.5755421752929688,0.14166667175292968,-0.10658145695924759,0.0,0.0,0.0,0.0,0.0,0.0
1738198897.6265872,145,148,102.74,136.99,0.5755421752929688,0.14166667175292968,-0.05888356268405914,0.0,0.0,0.0,0.0,0.0,0.0
1738198897.6433396,145,148,182.48,182.48,0.5715517578125,0.14166667175292968,-0.07989903539419174,-0.00399041748046875,0.0,0.00399041748046875,-0.11009606504321744,0.0,0.11009606504321744
1738198897.6599133,145,148,182.48,182.48,0.56491259765625,0.14166667175292968,-0.04114823043346405,-0.00663916015625,0.0,0.00663916015625,-0.23051676724530426,0.0,0.23051676724530426
1738198897.6767595,145,148,182.48,182.48,0.5566922607421875,0.14166667175292968,-0.06396137177944183,-0.0082203369140625,0.0,0.0082203369140625,-0.20989871121311554,0.0,0.20989871121311554
1738198897.6933804,145,148,182.48,182.48,0.547664794921875,0.14166667175292968,-0.032199203968048096,-0.0090274658203125,0.0,0.0090274658203125,-0.30521402258639174,0.0,0.30521402258639174
