timestamp,frame_number,blue_robot_x,blue_robot_y,blue_robot_orientation,yellow_robot_x,yellow_robot_y,yellow_robot_orientation,ball_x,ball_y,ball_speed_x,ball_speed_y,ball_speed,ball_angle
1738607898.444902,0,-298.5599060058594,-493.4223937988281,-1.0672247409820557,-718.983642578125,-166.66973876953125,1.580141544342041,-383.0120544433594,-370.8333435058594,,,,
1738607898.485601,0,-307.3173522949219,-484.0503845214844,-1.0593410730361938,-718.9634399414062,-166.6686553955078,1.5796048641204834,-383.0120544433594,-370.8333435058594,0.0,0.0,0.0,0.0
1738607898.5453897,0,-316.0804748535156,-471.022705078125,-1.0485589504241943,-718.9461669921875,-166.66781616210938,1.578068494796753,-383.0120544433594,-370.8333435058594,0.0,0.0,0.0,0.0
1738607898.5825257,0,-324.76483154296875,-459.65753173828125,-1.0378267765045166,-718.9329833984375,-166.66722106933594,1.5762388706207275,-387.1084289550781,-370.8333435058594,-24.676954889871986,0.0,24.676954889871986,180.0
1738607898.6150193,0,-329.34796142578125,-449.579345703125,-1.0286524295806885,-718.9237060546875,-166.66683959960938,1.5745208263397217,-383.0120544433594,-370.8333435058594,24.676954889871986,0.0,24.676954889871986,0.0
1738607898.6471353,0,-335.1613464355469,-440.4112854003906,-1.0215892791748047,-718.9178466796875,-166.66661071777344,1.5731059312820435,-383.0120544433594,-370.8333435058594,0.0,0.0,0.0,0.0
1738607898.6804352,0,-341.9465637207031,-431.82958984375,-1.0358257293701172,-718.9144897460938,-166.66650390625,1.5720492601394653,-387.1084289550781,-370.8333435058594,-24.676954889871986,0.0,24.676954889871986,180.0
1738607898.7112737,0,-349.4319152832031,-419.5254211425781,-1.045397400856018,-718.9129638671875,-166.66647338867188,1.5713276863098145,-387.1084289550781,-366.6666564941406,0.0,25.10052416698042,25.10052416698042,90.0
1738607898.7507398,0,-353.3872985839844,-412.8046569824219,-1.0319914817810059,-718.9125366210938,-166.66648864746094,1.5708814859390259,-391.204833984375,-362.5,-24.677138730704065,25.10034032614834,35.199265055152544,134.5128905367347
1738607898.7813232,0,-358.9559020996094,-405.8516540527344,-1.0685244798660278,-718.9127807617188,-166.66651916503906,1.5706403255462646,-395.30120849609375,-354.1666564941406,-24.676954889871986,50.20086449312876,55.93817031772002,116.17708587912027
1738607898.8148692,0,-365.72784423828125,-398.5818176269531,-1.0928044319152832,-718.913330078125,-166.6665496826172,1.5705389976501465,-403.4939880371094,-345.8333435058594,-49.35409362057605,50.20068065229668,70.39840122518736,134.51278384081104
1738607898.8560033,0,-371.3253173828125,-390.99713134765625,-1.1073038578033447,-718.9139404296875,-166.66659545898438,1.5705238580703735,-407.5903625488281,-341.6666564941406,-24.676954889871986,25.10052416698042,35.19926726643532,134.51246735171176
1738607898.890777,0,-376.10540771484375,-383.14373779296875,-1.114713191986084,-716.9193115234375,-166.6666259765625,1.451249122619629,-411.6867370605469,-333.3333435058594,-24.676954889871986,50.20068065229668,55.93800533260595,116.17716894849542
1738607898.9184854,0,-382.3634338378906,-375.0837097167969,-1.0904109477996826,-717.590576171875,-166.66664123535156,1.3718488216400146,-415.78314208984375,-320.8333435058594,-24.677138730704065,75.3012048192771,79.24160916569738,108.1446116539119
1738607898.9822183,0,-389.65673828125,-358.7608947753906,-1.0231423377990723,-718.1246948242188,-166.66665649414062,1.3248659372329712,-428.0722961425781,-304.1666564941406,-74.03104851044804,100.40172898625752,124.74415147407198,126.40314603241262
1738607899.0186465,0,-397.60986328125,-345.07452392578125,-1.027500033378601,-718.511962890625,-166.6666717529297,1.2458781003952026,-432.1686706542969,-291.6666564941406,-24.676954889871986,75.3012048192771,79.24155191483504,108.14448533735603
1738607899.048557,0,-403.9405822753906,-333.5072937011719,-1.0331928730010986,-718.7684326171875,-166.6666717529297,1.314220905303955,-436.2650451660156,-283.3333435058594,-24.676954889871986,50.20068065229668,55.93800533260595,116.17716894849542
1738607899.080759,0,-409.11907958984375,-323.4902648925781,-0.9895000457763672,-718.9210815429688,-166.6666717529297,1.3096811771392822,-440.3614501953125,-275.0,-24.677138730704065,50.20086449312876,55.93825141879116,116.17725486820821
1738607899.1150432,0,-415.5467529296875,-314.509521484375,-1.0378042459487915,-718.9985961914062,-166.6666717529297,1.2543375492095947,-444.45782470703125,-262.5,-24.676954889871986,75.3012048192771,79.24155191483504,108.14448533735603
1738607899.1447666,0,-422.86798095703125,-306.1531066894531,-1.072545051574707,-719.0264892578125,-166.6666717529297,1.2752584218978882,-448.5542297363281,-254.1666717529297,-24.677138730704065,50.20077257271272,55.938168926339024,116.17729640302352
1738607899.1825638,0,-428.7772216796875,-298.1202392578125,-1.09529709815979,-719.02490234375,-166.6666717529297,1.3518837690353394,-452.6506042480469,-245.8333282470703,-24.676954889871986,50.20086449312876,55.93817031772002,116.17708587912027
1738607899.2153358,0,-433.7025146484375,-290.21026611328125,-1.032370686531067,-719.0084838867188,-166.6666717529297,1.404843807220459,-460.8433837890625,-233.3333282470703,-49.35409362057605,75.3012048192771,90.03387142816479,123.24172988973848
1738607899.2456274,0,-439.99957275390625,-278.2438659667969,-1.0376437902450562,-718.9866943359375,-166.6666717529297,1.3237013816833496,-460.8433837890625,-225.0,0.0,50.20077257271272,50.20077257271272,90.0
1738607899.283511,0,-447.27178955078125,-267.58233642578125,-0.9930655360221863,-716.97021484375,-166.6666717529297,1.3215526342391968,-469.0361328125,-212.5,-49.35390977974397,75.3012048192771,90.03377065180503,123.24163204101362
