PWM_Right,PWM_Left,RPM_Right,RPM_Left
250,250,257.14,257.14
250,250,264.29,250.0
250,250,264.29,250.0
250,250,257.14,257.14
250,250,,
250,250,264.29,250.0
250,250,264.29,250.0
250,250,257.14,257.14
250,250,264.29,250.0
250,250,264.29,257.14
250,250,264.29,250.0
250,250,264.29,250.0
250,250,264.29,250.0
250,250,264.29,257.14
250,250,264.29,250.0
250,250,264.29,250.0
250,250,264.29,257.14
250,250,264.29,250.0
250,250,264.29,250.0
250,250,264.29,257.14
250,250,264.29,250.0
250,250,257.14,257.14
250,250,264.29,257.14
250,250,264.29,250.0
250,250,264.29,257.14
250,250,264.29,250.0
250,250,264.29,250.0
250,250,257.14,257.14
250,250,264.29,250.0
250,250,264.29,250.0
250,250,264.29,257.14
250,250,264.29,250.0
250,250,264.29,257.14
250,250,264.29,250.0
250.0,250.0,263.575,252.856
