PWM_Right,PWM_Left,RPM_Right,RPM_Left
230,230,250.0,242.86
230,230,257.14,242.86
230,230,250.0,250.0
230,230,,
230,230,250.0,242.86
230,230,257.14,242.86
230,230,257.14,250.0
230,230,257.14,242.86
230,230,257.14,242.86
230,230,257.14,250.0
230,230,250.0,242.86
230,230,257.14,242.86
230,230,257.14,250.0
230,230,257.14,242.86
230,230,250.0,242.86
230,230,257.14,250.0
230,230,257.14,242.86
230,230,257.14,250.0
230,230,257.14,242.86
230,230,257.14,250.0
230,230,257.14,242.86
230,230,257.14,250.0
230,230,250.0,242.86
230,230,257.14,250.0
230,230,257.14,242.86
230,230,257.14,250.0
230,230,257.14,242.86
230,230,250.0,250.0
230,230,257.14,242.86
230,230,257.14,250.0
230,230,250.0,242.86
230,230,257.14,250.0
230,230,257.14,250.0
230,230,257.14,242.86
230.0,230.0,255.712,246.43
