PWM_Right,PWM_Left,RPM_Right,RPM_Left
245,245,0.0,0.0
245,245,0.0,0.0
245,245,0.0,0.0
245,245,,
245,245,0.0,0.0
245,245,228.57,228.57
245,245,242.86,242.86
245,245,242.86,235.71
245,245,235.71,235.71
245,245,242.86,242.86
245,245,235.71,235.71
245,245,242.86,242.86
245,245,235.71,242.86
245,245,242.86,235.71
245,245,235.71,235.71
245,245,235.71,242.86
245,245,242.86,235.71
245,245,235.71,242.86
245,245,242.86,235.71
245,245,235.71,242.86
245,245,242.86,235.71
245,245,235.71,242.86
245,245,242.86,235.71
245,245,235.71,235.71
245,245,242.86,242.86
245,245,235.71,235.71
245,245,235.71,242.86
245,245,242.86,235.71
245,245,235.71,242.86
245,245,242.86,242.86
245,245,235.71,242.86
245,245,242.86,235.71
245,245,235.71,242.86
245.0,245.0,238.9275,239.28500000000003
