PWM_Right,PWM_Left,RPM_Right,RPM_Left
90,90,150.0,135.71
90,90,150.0,142.86
90,90,150.0,135.71
90,90,,
90,90,150.0,135.71
90,90,150.0,142.86
90,90,164.29,150.0
90,90,157.14,150.0
90,90,164.29,142.86
90,90,157.14,150.0
90,90,157.14,150.0
90,90,164.29,142.86
90,90,157.14,150.0
90,90,157.14,150.0
90,90,164.29,142.86
90,90,157.14,150.0
90,90,157.14,142.86
90,90,164.29,150.0
90,90,157.14,142.86
90,90,157.14,150.0
90,90,157.14,142.86
90,90,164.29,150.0
90,90,157.14,142.86
90,90,157.14,150.0
90,90,157.14,150.0
90,90,164.29,142.86
90,90,157.14,150.0
90,90,157.14,142.86
90,90,164.29,150.0
90,90,157.14,142.86
90,90,164.29,150.0
90,90,157.14,142.86
90,90,157.14,150.0
90,90,157.14,142.86
90.0,90.0,159.2849999999999,146.43000000000004
