PWM_Right,PWM_Left,RPM_Right,RPM_Left
130,130,0.0,0.0
130,130,0.0,0.0
130,130,0.0,0.0
130,130,,
130,130,0.0,0.0
130,130,157.14,150.0
130,130,192.86,200.0
130,130,200.0,192.86
130,130,192.86,200.0
130,130,192.86,192.86
130,130,200.0,200.0
130,130,192.86,200.0
130,130,200.0,192.86
130,130,192.86,200.0
130,130,192.86,192.86
130,130,200.0,200.0
130,130,192.86,200.0
130,130,192.86,192.86
130,130,200.0,200.0
130,130,192.86,200.0
130,130,192.86,207.14
130,130,192.86,192.86
130,130,200.0,200.0
130,130,192.86,192.86
130,130,192.86,192.86
130,130,192.86,207.14
130,130,192.86,192.86
130,130,200.0,192.86
130,130,192.86,207.14
130,130,192.86,192.86
130,130,192.86,192.86
130,130,200.0,207.14
130,130,192.86,192.86
130.0,130.0,194.64500000000007,197.85800000000003
