PWM_Right,PWM_Left,RPM_Right,RPM_Left
125,125,200.0,185.71
125,125,207.14,185.71
125,125,200.0,185.71
125,125,,
125,125,200.0,185.71
125,125,207.14,192.86
125,125,207.14,200.0
125,125,207.14,185.71
125,125,207.14,192.86
125,125,207.14,192.86
125,125,207.14,192.86
125,125,207.14,192.86
125,125,207.14,192.86
125,125,207.14,192.86
125,125,207.14,192.86
125,125,207.14,192.86
125,125,207.14,192.86
125,125,207.14,192.86
125,125,207.14,192.86
125,125,207.14,192.86
125,125,207.14,192.86
125,125,200.0,192.86
125,125,207.14,192.86
125,125,207.14,192.86
125,125,207.14,192.86
125,125,207.14,192.86
125,125,200.0,192.86
125,125,207.14,192.86
125,125,207.14,192.86
125,125,207.14,192.86
125,125,207.14,192.86
125,125,200.0,192.86
125,125,207.14,192.86
125,125,207.14,185.71
125.0,125.0,206.0689999999999,192.50250000000008
