PWM_Right,PWM_Left,RPM_Right,RPM_Left
175,175,0.0,0.0
175,175,0.0,0.0
175,175,0.0,0.0
175,175,,
175,175,0.0,0.0
175,175,192.86,192.86
175,175,221.43,221.43
175,175,214.29,214.29
175,175,221.43,214.29
175,175,221.43,214.29
175,175,214.29,228.57
175,175,221.43,228.57
175,175,214.29,221.43
175,175,221.43,214.29
175,175,214.29,228.57
175,175,221.43,214.29
175,175,221.43,214.29
175,175,214.29,221.43
175,175,221.43,214.29
175,175,221.43,214.29
175,175,214.29,221.43
175,175,221.43,214.29
175,175,214.29,214.29
175,175,221.43,214.29
175,175,221.43,221.43
175,175,214.29,214.29
175,175,221.43,214.29
175,175,221.43,221.43
175,175,221.43,214.29
175,175,221.43,214.29
175,175,221.43,214.29
175,175,221.43,221.43
175,175,221.43,214.29
175,175,221.43,214.29
175.0,175.0,219.64499999999998,216.789
