PWM_Right,PWM_Left,RPM_Right,RPM_Left
215,215,0.0,0.0
215,215,0.0,0.0
215,215,0.0,0.0
215,215,,
215,215,0.0,0.0
215,215,214.29,214.29
215,215,235.71,228.57
215,215,235.71,228.57
215,215,228.57,221.43
215,215,235.71,228.57
215,215,228.57,235.71
215,215,235.71,221.43
215,215,228.57,228.57
215,215,235.71,228.57
215,215,228.57,228.57
215,215,235.71,228.57
215,215,228.57,228.57
215,215,235.71,228.57
215,215,228.57,228.57
215,215,228.57,242.86
215,215,235.71,228.57
215,215,228.57,235.71
215,215,235.71,228.57
215,215,228.57,228.57
215,215,228.57,228.57
215,215,228.57,228.57
215,215,235.71,228.57
215,215,228.57,228.57
215,215,235.71,228.57
215,215,228.57,228.57
215,215,228.57,228.57
215,215,235.71,228.57
215,215,228.57,235.71
215,215,235.71,228.57
215.0,215.0,231.42600000000002,229.99850000000006
