PWM_Right,PWM_Left,RPM_Right,RPM_Left
110,110,185.71,164.29
110,110,185.71,171.43
110,110,185.71,171.43
110,110,,
110,110,185.71,171.43
110,110,185.71,171.43
110,110,192.86,171.43
110,110,200.0,178.57
110,110,185.71,178.57
110,110,192.86,171.43
110,110,192.86,178.57
110,110,192.86,178.57
110,110,192.86,171.43
110,110,185.71,178.57
110,110,192.86,171.43
110,110,192.86,178.57
110,110,192.86,171.43
110,110,185.71,178.57
110,110,192.86,171.43
110,110,192.86,178.57
110,110,192.86,171.43
110,110,192.86,178.57
110,110,185.71,171.43
110,110,192.86,178.57
110,110,192.86,178.57
110,110,185.71,171.43
110,110,192.86,178.57
110,110,192.86,171.43
110,110,192.86,178.57
110,110,185.71,178.57
110,110,192.86,171.43
110,110,192.86,178.57
110,110,185.71,171.43
110,110,192.86,178.57
110.0,110.0,191.07250000000008,175.35700000000003
