;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
Position R1;[0.0, 0.0, 0.0];[1.4605238437652588, 1.1768614053726196, 0.03287942707538605];[1.4326564073562622, 1.1766453981399536, 0.032759811729192734];[1.3962702751159668, 1.1767351627349854, 0.03280453756451607];[1.3688448667526245, 1.1715439558029175, 0.03284866735339165];[1.3457993268966675, 1.1624014377593994, 0.032846517860889435];[1.3234050273895264, 1.1474493741989136, 0.03278947249054909];[1.3067692518234253, 1.1266286373138428, 0.03284650668501854];[1.2757843732833862, 1.0728957653045654, 0.03277057781815529];[1.2437862157821655, 1.0147310495376587, 0.032742828130722046];[1.2148014307022095, 0.9498244524002075, 0.032766617834568024];[1.1876014471054077, 0.8897636532783508, 0.03276343271136284];[1.159005880355835, 0.8243741989135742, 0.03276541456580162];[1.1366863250732422, 0.7660102248191833, 0.03276260569691658];[1.1109111309051514, 0.7123894095420837, 0.03276418149471283];[1.0770310163497925, 0.671965479850769, 0.032761361449956894];[1.0319597721099854, 0.6477944850921631, 0.032759327441453934];[0.9779176115989685, 0.6421746611595154, 0.032759107649326324];[0.9166727662086487, 0.6579241156578064, 0.03263470157980919];[0.8537911772727966, 0.6729051470756531, 0.03267110511660576];[0.7613445520401001, 0.6943820714950562, 0.03264850378036499];[0.6664981245994568, 0.7196488976478577, 0.032731037586927414];[0.566291868686676, 0.7415770292282104, 0.03274386003613472];[0.4723827540874481, 0.7487751841545105, 0.0327594056725502];[0.3770558834075928, 0.7266770601272583, 0.03274380415678024];[0.2976769208908081, 0.6772583723068237, 0.03273022547364235];[0.23783980309963226, 0.6090759038925171, 0.032714664936065674];[0.20541143417358398, 0.5221705436706543, 0.03276703134179115];[0.21769315004348755, 0.4381296634674072, 0.03274884447455406];[0.26490113139152527, 0.37399715185165405, 0.032760512083768845];[0.3374214172363281, 0.3377743661403656, 0.03282113000750542];[0.4210015833377838, 0.3434320092201233, 0.03268894925713539];[0.48372960090637207, 0.36938512325286865, 0.03275651857256889];[0.5395424365997314, 0.3995971381664276, 0.032713886350393295];[0.598922848701477, 0.4381081759929657, 0.032761454582214355];[0.6528659462928772, 0.47734129428863525, 0.03275545313954353];[0.7020497918128967, 0.5159755945205688, 0.032727066427469254];[0.7542683482170105, 0.5580539703369141, 0.03276803344488144];[0.8073151111602783, 0.6024788022041321, 0.032760750502347946];[0.865473747253418, 0.6480455994606018, 0.032762620598077774];[0.9179095029830933, 0.6891573667526245, 0.03268512338399887];[0.9638109803199768, 0.7234222888946533, 0.03276364132761955];[1.0164685249328613, 0.748731791973114, 0.032763488590717316];[1.0728439092636108, 0.7634086608886719, 0.03276053071022034];[1.13292396068573, 0.767412543296814, 0.03268057107925415];[1.1866590976715088, 0.7625243067741394, 0.032627448439598083];[1.2432721853256226, 0.7474807500839233, 0.032759059220552444];[1.2896671295166016, 0.7286969423294067, 0.03270021080970764];[1.3379942178726196, 0.7056982517242432, 0.03277472406625748];[1.384658932685852, 0.6758807897567749, 0.03280569240450859];[1.425621509552002, 0.6360445022583008, 0.032641682773828506]
vd;[0.0022029404062777758, -0.0015943233156576753, 0.00030297142802737653];[0.001026634476147592, -0.0008641394088044763, -0.00021984431077726185];[-0.02175513654947281, 0.0013285628519952297, -0.003098816843703389];[-0.02790534868836403, -0.0035764179192483425, 0.0020494863856583834];[-0.021415643393993378, -0.005546946544200182, -0.0005994552047923207];[-0.025978965684771538, -0.015232915058732033, 0.0013650149339810014];[-0.02465975470840931, -0.01950419694185257, 0.0004719770513474941];[-0.03330177813768387, -0.05709144100546837, 0.004529991187155247];[-0.0282888226211071, -0.05199175328016281, -0.002973546739667654];[-0.024896809831261635, -0.04879506304860115, -0.0041508241556584835];[-0.02705596759915352, -0.0585649311542511, -0.0002490308543201536];[-0.025115150958299637, -0.05650433152914047, 0.003621089970692992];[-0.02191631682217121, -0.056523051112890244, 0.0008551382925361395];[-0.018234271556138992, -0.04071974381804466, 0.003244146704673767];[-0.021231401711702347, -0.029064562171697617, 0.002322068437933922];[-0.023115403950214386, -0.017768679186701775, -0.002349159913137555];[-0.030937282368540764, -0.006024409085512161, -0.0020418318454176188];[-0.03151687979698181, 0.010937066748738289, 0.002589975716546178];[-0.05825469270348549, 0.01742040179669857, 0.0016088718548417091];[-0.07886356115341187, 0.019831953570246696, -0.00016835056885611266];[-0.08440334349870682, 0.025119055062532425, 0.0009480029693804681];[-0.08164860308170319, 0.013974927365779877, -0.0029123141430318356];[-0.09233126044273376, 0.01701197773218155, 0.00027679273625835776];[-0.087969109416008, -0.008488107472658157, -0.001440732623450458];[-0.07876719534397125, -0.03987204283475876, -0.0008564661256968975];[-0.06478584557771683, -0.06537424027919769, 9.037643030751497e-05];[-0.044327545911073685, -0.07752805203199387, -0.0023327255621552467];[-0.007475835736840963, -0.08498366177082062, -0.00388485100120306];[0.04054959490895271, -0.07753396034240723, -3.499995727906935e-05];[0.06922317296266556, -0.0516621470451355, -0.0018009701743721962];[0.09329358488321304, -0.009353363886475563, 0.0004583807021845132];[0.05319024622440338, 0.01971820555627346, -0.00018400979752186686];[0.056711286306381226, 0.02569628693163395, -0.0003902282624039799];[0.051118154078722, 0.03385660797357559, -0.003089937847107649];[0.050987496972084045, 0.03635774925351143, 0.0015227937838062644];[0.040712643414735794, 0.031167682260274887, -0.0030904081650078297];[0.046798836439847946, 0.036798182874917984, 6.933911208761856e-05];[0.040724657475948334, 0.036320239305496216, 7.432999700540677e-05];[0.04904565587639809, 0.03887598216533661, -1.8776805518427864e-05];[0.04880659282207489, 0.03510589525103569, 3.736594953807071e-05];[0.03180311247706413, 0.025781558826565742, -0.0026112738996744156];[0.03902106732130051, 0.01607988215982914, 0.0015654565067961812];[0.027251938357949257, 0.008448636159300804, 0.001990251475945115];[0.04942457750439644, 0.00940170418471098, 0.00010644768917700276];[0.04876011610031128, -0.003879354801028967, -0.0004655944649130106];[0.04727105051279068, -0.006012872327119112, -0.0016556503251194954];[0.036983635276556015, -0.01731746271252632, 0.0008685122593306005];[0.037906818091869354, -0.017093632370233536, -0.001625244622118771];[0.03660654276609421, -0.02176498994231224, 0.0037575713358819485];[0.031125761568546295, -0.025049671530723572, -0.0016741666477173567];[0.02320104092359543, -0.03428398817777634, 0.0036580339074134827]
wd;[-0.00858897902071476, 0.020517049357295036, -0.04258246719837189];[0.01129800733178854, 0.0055722580291330814, 0.06906840205192566];[0.013471194542944431, -0.08379101008176804, 0.01695382222533226];[-0.11402339488267899, -0.14350780844688416, -0.08410053700208664];[-0.0006240765796974301, -0.12331543862819672, -0.055523164570331573];[-0.09264297783374786, -0.1859588474035263, -0.12408085912466049];[-0.09892278164625168, -0.1908092200756073, 0.03184138238430023];[-0.18049998581409454, -0.07677070051431656, 0.0716734230518341];[0.05956128612160683, -0.002060639439150691, -0.07585456967353821];[-0.0010899327462539077, -0.07028979063034058, -0.018358515575528145];[0.0004659723781514913, -0.0053178840316832066, 0.057648077607154846];[-0.04270290955901146, -0.10250481963157654, 0.11234765499830246];[-0.05879759415984154, -0.10156963765621185, -0.20181438326835632];[0.0308998953551054, 0.16183143854141235, 0.009028095752000809];[0.011170599609613419, 0.22993962466716766, 0.1271519511938095];[0.16903983056545258, 0.2539151906967163, -0.09021302312612534];[0.11882131546735764, 0.3322242200374603, -0.08582603931427002];[0.04979195445775986, 0.35278886556625366, 0.13092029094696045];[-0.05586816743016243, -0.04941680654883385, -0.08212762326002121];[0.0077055394649505615, 0.008979427628219128, -0.16251243650913239];[-0.00966979656368494, 0.04221094027161598, -0.1557936668395996];[-0.007388431578874588, -0.0454101599752903, 0.059102434664964676];[-0.07039774954319, -0.18519893288612366, 0.12515538930892944];[-0.08568188548088074, -0.30195853114128113, 0.11400490254163742];[-0.06172112748026848, -0.16976463794708252, -0.13702446222305298];[-0.06459768861532211, -0.17224518954753876, -0.1072591170668602];[-0.10595297068357468, -0.31572267413139343, 0.128585085272789];[-0.14561006426811218, -0.42183923721313477, 0.0067350734025239944];[-0.13560207188129425, -0.4099593460559845, 0.04140259698033333];[-0.08482855558395386, -0.3931044042110443, 0.029762310907244682];[-0.12797969579696655, -0.3805288076400757, 0.14396245777606964];[-0.03351527824997902, -0.09182419627904892, -0.22461296617984772];[-0.005129789002239704, -0.0383453369140625, -0.11666455864906311];[-0.0006699671503156424, -0.05540488660335541, 0.08960789442062378];[-0.05328228324651718, -0.1264893263578415, 0.14958727359771729];[0.012099362909793854, -0.027247710153460503, -0.10071591287851334];[-0.007675786968320608, -0.015298699960112572, -0.11382625997066498];[0.050141677260398865, 0.02681112475693226, -0.08025070279836655];[0.005895144306123257, 0.015929168090224266, 0.034475017338991165];[-0.007900940254330635, -0.021336989477276802, -0.07513639330863953];[0.04984716325998306, 0.05539583042263985, -0.1693289428949356];[0.08535964787006378, 0.1253746598958969, -0.15405520796775818];[0.10869757831096649, 0.2969769835472107, -0.156403586268425];[0.07190672308206558, 0.20099903643131256, 0.15743263065814972];[0.053414132446050644, 0.11396091431379318, 0.1352120339870453];[0.04642223194241524, 0.11918478459119797, 0.15447017550468445];[0.004412853624671698, 0.1268319934606552, -0.22047346830368042];[0.04701542109251022, 0.0931251049041748, -0.23344489932060242];[-0.04034040868282318, 0.21854211390018463, -0.07753246277570724];[0.08464037626981735, 0.08946753293275833, 0.08657464385032654];[0.06005339324474335, 0.2910446226596832, -0.14690792560577393]
ve;[-0.001360424910672009, 0.00027423660503700376, 0.0025780557189136744];[-0.037258490920066833, 0.001273084431886673, -0.004697061609476805];[-0.03004162386059761, -0.0023005346301943064, 0.00013265962479636073];[-0.013921820558607578, -0.006547397933900356, 0.0025036868173629045];[-0.012019417248666286, -0.004183011595159769, 0.0015425735618919134];[-0.017988750711083412, -0.008788423612713814, 0.0004350269737187773];[-0.007676288485527039, -0.012113367207348347, 0.002164901001378894];[-0.033266786485910416, -0.052469536662101746, 0.00021376737277023494];[-0.029069464653730392, -0.04998365044593811, -0.00025813805405050516];[-0.030322866514325142, -0.05474263057112694, 3.446607297519222e-05];[-0.02494710311293602, -0.058039721101522446, 0.00010143847612198442];[-0.027070587500929832, -0.05759787559509277, -0.00022960855858400464];[-0.010283955372869968, -0.03709147125482559, -0.0019735004752874374];[-0.02136736363172531, -0.04505980387330055, -0.0018211804563179612];[-0.03763166442513466, -0.050130680203437805, -0.00015506119234487414];[-0.0509897880256176, -0.03140790015459061, -8.135517418850213e-06];[-0.05764196068048477, -0.012987097725272179, 2.833515827660449e-05];[-0.06267412006855011, 0.015291172079741955, 1.9882872948073782e-05];[-0.05429936945438385, 0.011705730110406876, 0.00013366846542339772];[-0.09013719111680984, 0.01808694377541542, 0.005842207930982113];[-0.08285649120807648, 0.02217928320169449, 0.0027512540109455585];[-0.08803235739469528, 0.022591521963477135, -0.002659769030287862];[-0.05790427699685097, 0.009774962440133095, 0.003310763044282794];[-0.0789221003651619, -0.01437553483992815, -2.080663398373872e-05];[-0.06541101634502411, -0.03477124497294426, -0.0008782544173300266];[-0.046851616352796555, -0.05241570621728897, -0.002097248798236251];[-0.026204757392406464, -0.055607520043849945, -0.0004844664945267141];[0.005436667241156101, -0.05561358854174614, 0.0010463697835803032];[0.033465396612882614, -0.05184602364897728, 0.0011578442063182592];[0.04482043534517288, -0.02654191479086876, -0.00166667765006423];[0.05404128134250641, -0.0025398200377821922, 0.0003433265083003789];[0.05265815183520317, 0.020970478653907776, 0.0021737604402005672];[0.04327775910496712, 0.02073422074317932, -0.0031920212786644697];[0.04605589434504509, 0.03166676312685013, -0.0012470172950997949];[0.050106097012758255, 0.032937392592430115, -0.000955068098846823];[0.04923606291413307, 0.035916101187467575, 0.00024920402211137116];[0.04343413934111595, 0.03345265984535217, -0.0029732384718954563];[0.04154227301478386, 0.041256994009017944, 0.0012741370592266321];[0.04811739921569824, 0.040086355060338974, 0.00016116866027005017];[0.0493863970041275, 0.03402113914489746, 0.0026960200630128384];[0.04473986476659775, 0.031682681292295456, -0.0031269295141100883];[0.05483001098036766, 0.026023630052804947, 6.477965507656336e-05];[0.0568314827978611, 0.017035141587257385, 4.484262899495661e-05];[0.05615837872028351, 0.0015216496540233493, -0.0003582563658710569];[0.042841047048568726, -0.0069615524262189865, -0.005904526449739933];[0.048828862607479095, -0.009184657596051693, 0.0036443923600018024];[0.03715693578124046, -0.010005314834415913, -0.001018128707073629];[0.052603866904973984, -0.026937570422887802, 0.003709949553012848];[0.04881467670202255, -0.029986131936311722, -0.0013802009634673595];[0.04315168783068657, -0.0436444990336895, -0.0017177424160763621];[0.032421015202999115, -0.046824369579553604, 0.0018157348968088627]
we;[0.04939466714859009, 0.007112585008144379, -0.036150459200143814];[-0.035075679421424866, 0.04643341526389122, -0.0253116637468338];[0.002280192682519555, -0.004165987484157085, -0.09999583661556244];[-0.0035166291054338217, -0.19408901035785675, -0.07991894334554672];[-0.030300477519631386, -0.18044693768024445, -0.11045672744512558];[-0.08007188886404037, -0.12660633027553558, 0.21197853982448578];[-0.044701434671878815, -0.25229036808013916, 0.08543964475393295];[-0.011665092781186104, -0.03799869492650032, 0.05969630181789398];[-0.029407789930701256, -0.05411641299724579, 0.22143371403217316];[-0.014999212697148323, -0.05315234884619713, 0.13868163526058197];[0.02113587222993374, 0.05010778829455376, 0.053768057376146317];[-0.016056837514042854, -0.03378922492265701, 0.10847468674182892];[-0.018099470064044, -0.15993265807628632, -0.046455394476652145];[-0.013022747822105885, 0.08497549593448639, -0.10250289738178253];[0.1240934208035469, 0.33762630820274353, 0.17054075002670288];[0.12948380410671234, 0.36501646041870117, -0.1014295220375061];[0.11224407702684402, 0.3234436810016632, 0.07199959456920624];[0.13208606839179993, 0.3489570915699005, 0.13354791700839996];[-0.0016153400065377355, -0.014944195747375488, -0.07550746947526932];[0.040545374155044556, -0.014434963464736938, 0.17440186440944672];[0.02620076760649681, -0.07114911824464798, 0.06647941470146179];[-0.03861037269234657, 0.03843903914093971, -0.20489966869354248];[-0.0452500656247139, -0.27587494254112244, -0.11846733093261719];[-0.0839926153421402, -0.22794942557811737, 0.157229483127594];[-0.1317160576581955, -0.27887967228889465, 0.17105533182621002];[-0.06017556041479111, -0.2541121244430542, 0.024072762578725815];[-0.1746790111064911, -0.39339762926101685, -0.04687875509262085];[-0.1192915290594101, -0.4398937225341797, -0.13790424168109894];[-0.11468169093132019, -0.43635278940200806, 0.07807159423828125];[-0.20346911251544952, -0.45000091195106506, -0.22459876537322998];[-0.17614442110061646, -0.4828994870185852, -0.08524609357118607];[-0.027439136058092117, -0.13133780658245087, 0.16381341218948364];[-0.014981016516685486, -0.1008211299777031, 0.06529905647039413];[-0.05181407928466797, -0.026886308565735817, -0.08912591636180878];[-0.021942034363746643, -0.05650520324707031, 0.13993500173091888];[-0.004428056534379721, -0.031439125537872314, 0.15324079990386963];[-0.038959912955760956, -0.004047233611345291, 0.07138295471668243];[0.006955274380743504, -0.019039886072278023, -0.056843455880880356];[0.002115746261551976, -0.0031466041691601276, 0.04695373401045799];[0.03287358582019806, -0.0960354208946228, 0.13150237500667572];[-0.07568038254976273, 0.06388628482818604, 0.2056083232164383];[0.06949969381093979, 0.1962602585554123, -0.1462916135787964];[0.08044788241386414, 0.21050655841827393, -0.145415261387825];[0.09365329146385193, 0.18088895082473755, -0.16965052485466003];[0.015215334482491016, 0.2321120649576187, -0.1652206927537918];[0.13523969054222107, 0.13441383838653564, -0.08264783024787903];[0.03568944334983826, -0.03305215388536453, 0.03163798153400421];[0.13049021363258362, 0.08296655863523483, 0.212752103805542];[0.02366853505373001, 0.17685268819332123, -0.03778520226478577];[0.03186124563217163, 0.22328661382198334, 0.1681893765926361];[0.13905073702335358, 0.20339860022068024, -0.10546235740184784]
v linear;[0.0, 0.0, 0.0];[-0.03640270233154297, 0.0016858652234077454, -0.0029676840640604496];[-0.030949357897043228, -0.0023560337722301483, 4.674231149692787e-06];[-0.020877841860055923, -0.007888470776379108, 0.00030107167549431324];[-0.01866808906197548, -0.006892654579132795, 0.0003482486354187131];[-0.020975008606910706, -0.010458506643772125, 0.0016011775005608797];[-0.012913710437715054, -0.01838643290102482, 0.0007121472735889256];[-0.03371625393629074, -0.05326232686638832, 0.00013672343629878014];[-0.029314253479242325, -0.05026090890169144, 6.897171988384798e-05];[-0.030648350715637207, -0.0554937981069088, -0.00010480433411430568];[-0.023930544033646584, -0.05594087392091751, 2.2577796698897146e-05];[-0.02727362886071205, -0.05798547714948654, -0.00010710267815738916];[-0.012170292437076569, -0.04266080632805824, -0.0031783664599061012];[-0.02094072662293911, -0.043292898684740067, -0.0003348035679664463];[-0.02961011417210102, -0.038703206926584244, -5.0850914703914896e-05];[-0.04030495882034302, -0.024445027112960815, 4.535499101621099e-05];[-0.045328062027692795, -0.010483483783900738, 4.9636902986094356e-05];[-0.0489782951772213, 0.011789565905928612, -1.036878256854834e-05];[-0.055389177054166794, 0.011947115883231163, 1.7879381630336866e-05];[-0.08885960280895233, 0.01746208406984806, 0.004318244755268097];[-0.0844382718205452, 0.022193236276507378, 0.0010725054889917374];[-0.0887456089258194, 0.023155560716986656, -0.0009123205672949553];[-0.06840429455041885, 0.010532406158745289, 0.001273514237254858];[-0.08605103194713593, -0.015644147992134094, -3.803327490459196e-05];[-0.07378122210502625, -0.03899197652935982, 0.00013821998436469585];[-0.05288487300276756, -0.0589652881026268, -0.0029824674129486084];[-0.03319336101412773, -0.06934025883674622, 0.00026612073997966945];[0.006794119253754616, -0.0725645199418068, -9.787967428565025e-05];[0.04187285155057907, -0.0643843337893486, -0.0002556512481532991];[0.060519639402627945, -0.03730730712413788, -0.000687269726768136];[0.07266820222139359, -0.003480276558548212, -5.8350589824840426e-05];[0.055706460028886795, 0.022350002080202103, 0.0015390686457976699];[0.04586716368794441, 0.022231705486774445, -0.0038429833948612213];[0.04811566695570946, 0.03259087726473808, 0.00010721883154474199];[0.05092423036694527, 0.033515915274620056, -0.0009197715553455055];[0.04909500852227211, 0.035870522260665894, 2.31685335165821e-05];[0.04361205920577049, 0.033235691487789154, -0.001738646300509572];[0.04224398359656334, 0.04196779057383537, 0.0008086148300208151];[0.04786914587020874, 0.039921049028635025, 5.3751242376165465e-05];[0.0504477433860302, 0.035497233271598816, 0.0004937175544910133];[0.04298611730337143, 0.029276877641677856, 9.648346167523414e-05];[0.04946913197636604, 0.02307228557765484, 7.003419887041673e-05];[0.050380606204271317, 0.01513408962637186, -0.00013581581879407167];[0.05045441538095474, 0.0010716774268075824, -0.0012575330911204219];[0.03637685626745224, -0.007096585817635059, -0.0034806057810783386];[0.04368888959288597, -0.00726335309445858, 0.0009378918912261724];[0.037705276161432266, -0.009841605089604855, -0.002576751634478569];[0.04747752100229263, -0.02373356930911541, 0.0004250534111633897];[0.043713681399822235, -0.027163004502654076, -0.00014792858564760536];[0.036295272409915924, -0.03770754486322403, -3.411311627132818e-05];[0.028738288208842278, -0.04027112200856209, -0.00037075785803608596]
v angular;[0.0, 0.0, 0.0];[-0.02531379461288452, 0.04888151213526726, -0.03157471492886543];[-0.09999579191207886, -0.0035831609275192022, 0.0031169999856501818];[-0.07960941642522812, -0.06380995362997055, 0.1833338886499405];[-0.11016619950532913, -0.03423565998673439, 0.17974187433719635];[0.2121097296476364, 0.03349088504910469, 0.146010160446167];[0.08599436283111572, -0.04320187866687775, 0.25255146622657776];[0.05970928445458412, -0.00191621168050915, 0.03970268741250038];[0.22145859897136688, 0.009799224324524403, 0.060806065797805786];[0.13870666921138763, -0.0037024961784482002, 0.05510389804840088];[0.053790636360645294, -0.0028693843632936478, -0.05430728569626808];[0.10848477482795715, 0.003733848687261343, 0.037223540246486664];[-0.046234242618083954, -0.03805502504110336, 0.15639016032218933];[-0.10245221108198166, 0.0416865199804306, -0.07518422603607178];[0.17155036330223083, -0.004208611324429512, -0.35968253016471863];[-0.10019828379154205, 0.00512325344607234, -0.38726601004600525];[0.07294069975614548, 0.003910979256033897, -0.34234216809272766];[0.13463246822357178, -0.007268683984875679, -0.37304580211639404];[-0.07550553977489471, -0.0036483698058873415, 0.014581759460270405];[0.17438732087612152, -0.04303823783993721, 7.237074169097468e-05];[0.06650358438491821, -0.048762351274490356, 0.05805957317352295];[-0.20490895211696625, 0.049660973250865936, -0.022407760843634605];[-0.11778852343559265, -0.053456760942935944, 0.2744029462337494];[0.15769068896770477, 0.0028757730033248663, 0.24291381239891052];[0.1717357039451599, 0.03101986274123192, 0.3068545460700989];[0.024649932980537415, -0.03005010075867176, 0.2594049274921417];[-0.04546782001852989, 0.02859988622367382, 0.42947956919670105];[-0.1361216902732849, -0.04147138074040413, 0.45388883352279663];[0.07976885139942169, -0.039708346128463745, 0.4494186043739319];[-0.22270113229751587, 0.03177491948008537, 0.4928327202796936];[-0.0830962136387825, -0.0018100703600794077, 0.5140131115913391];[0.16396349668502808, -0.018047107383608818, 0.1329541951417923];[0.06538697332143784, -0.02007899433374405, 0.09993080794811249];[-0.08913349360227585, 0.03930170089006424, 0.043161895126104355];[0.13996338844299316, 0.0017168658087030053, 0.060591600835323334];[0.15324923396110535, -0.006353642325848341, 0.03110719472169876];[0.0713718980550766, 0.03528701141476631, 0.0170024074614048];[-0.05684170126914978, -0.01309188175946474, 0.015475651249289513];[0.04695373773574829, -0.0030591017566621304, 0.002240400994196534];[0.1315489560365677, -0.06321622431278229, 0.07941785454750061];[0.20556873083114624, 0.09261069446802139, -0.03510309383273125];[-0.14593324065208435, 0.0033380233217030764, -0.2081754058599472];[-0.14500294625759125, -0.001962172333151102, -0.2253459095954895];[-0.16935047507286072, -0.02442440204322338, -0.20222507417201996];[-0.16475963592529297, 0.0669301450252533, -0.22277353703975677];[-0.08254089206457138, -0.08039838075637817, -0.17289546132087708];[0.031629689037799835, -0.04481172561645508, 0.018923260271549225];[0.21273235976696014, -0.09554336220026016, -0.12158383429050446];[-0.03751255199313164, 0.038574427366256714, -0.17420996725559235];[0.16861359775066376, 0.044569410383701324, -0.22110101580619812];[-0.10511284321546555, -0.059841006994247437, -0.23900765180587769]
